codigo;nombre;fecha_ejecucion;descripcion;entidad;lider;cargo_lider;plataforma;crm
CB-NO-IN-N/A-CRM 78279-PDCL;NOVEDAD ESTADO DE TDC;19/02/2026;"La solicitud consiste en la habilitación del usuario administrador del banco unión con propósito de corregir el estado de clientes afectados por fallo en el proyecto ""Cambio de estados de la BPO"". Se requiere ajustar clientes al día 19/02/2026 que presentan afectaciones en proceso del cierre diario de la noche previa, el cambio se realiza mientras se ejecuta el programa definitivo el cual corrige el fallo masivo el día 27 de febrero.";BPO Banco Unión;Stefania Andrade;Analista de certificación;AS400 - JAVA;78279
CB-EM-EX-N/A-78280-PDCL;CRM26578 - No se han recibido los archivos de interfaces contables;19/02/2026;"Mediante el CRM 78280 se requiere desplegar de producción NimbusQA a producción Naos/Nimbus para la entidad claro los ajustes pertinentes para estabilizar el proceso contable. Ante las siguientes preguntas 
¿Cuál es la afectación en producción crítica que está deteriorando el servicio?
Orlando explica que se tiene afectación sobre el servicio de reapertura de créditos debido a que los saldos del crédito no se reversan antes de su retiro
¿Por qué no se radicó y presentó por los tiempos establecidos en el procedimiento de gestión de cambios, y por qué no se puede esperar a estos?
Se señala que debido a la afectación con el paso del proyecto AS259401 FIANZA se ha estado revisando los diferentes escenarios y ajustando, por tal motivo no se puede esperar para presentarse en comité normal.";BPO Claro;Orlando Guerrero;Analista gestión de incidentes;AS400;78280
